dt,s34_cal,s34_cal_61,s34_cal_121,s34_cal_301,s34_cal_601
2018-12-31 22:50:00,37.98410505647435,,,,
2018-12-31 22:50:01,37.98410505647435,,,,
2018-12-31 22:50:02,37.92507505968799,,,,
2018-12-31 22:50:03,37.92507505968799,,,,
2018-12-31 22:50:04,38.531115711240055,,,,
2018-12-31 22:50:05,38.531115711240055,,,,
2018-12-31 22:50:06,38.55079237683551,,,,
2018-12-31 22:50:07,38.55079237683551,,,,
2018-12-31 22:50:08,38.5114390456446,,,,
2018-12-31 22:50:09,38.5114390456446,,,,
2018-12-31 22:50:10,38.531115711240055,,,,
2018-12-31 22:50:11,39.09780303160122,,,,
2018-12-31 22:50:12,39.13715636279212,,,,
2018-12-31 22:50:13,39.13715636279212,,,,
2018-12-31 22:50:14,39.166862107963574,,,,
2018-12-31 22:50:15,39.166862107963574,,,,
2018-12-31 22:50:16,39.733549428324736,,,,
2018-12-31 22:50:17,39.71387276272928,,,,
2018-12-31 22:50:18,39.14718544236813,,,,
2018-12-31 22:50:19,39.18653877355903,,,,
2018-12-31 22:50:20,39.75322609392019,,,,
2018-12-31 22:50:21,39.11747969719667,,,,
2018-12-31 22:50:22,39.11747969719667,,,,
2018-12-31 22:50:23,39.13715636279212,,,,
2018-12-31 22:50:24,39.13715636279212,,,,
2018-12-31 22:50:25,39.13715636279212,,,,
2018-12-31 22:50:26,39.13715636279212,,,,
2018-12-31 22:50:27,39.18653877355903,,,,
2018-12-31 22:50:28,39.18653877355903,,,,
2018-12-31 22:50:29,39.13715636279212,,,,
2018-12-31 22:50:30,39.13715636279212,38.92544172189329,,,
2018-12-31 22:50:31,39.166862107963574,38.91696131353929,,,
2018-12-31 22:50:32,39.166862107963574,38.908480905185286,,,
2018-12-31 22:50:33,39.733549428324736,38.90096820169663,,,
2018-12-31 22:50:34,39.733549428324736,38.89345549820797,,,
2018-12-31 22:50:35,39.733549428324736,38.87600770207092,,,
2018-12-31 22:50:36,39.733549428324736,38.858559905933866,,,
2018-12-31 22:50:37,39.75322609392019,38.85007949757986,,,
2018-12-31 22:50:38,39.75322609392019,38.84159908922586,,,
2018-12-31 22:50:39,,38.833118680871856,,,
2018-12-31 22:50:40,,38.82463827251785,,,
2018-12-31 22:50:41,39.18653877355903,38.82544782023535,,,
2018-12-31 22:50:42,39.166862107963574,38.81696741188134,,,
2018-12-31 22:50:43,39.166862107963574,38.808164435238886,,,
2018-12-31 22:50:44,39.166862107963574,38.79936145859644,,,
2018-12-31 22:50:45,39.166862107963574,38.790071502524945,,,
2018-12-31 22:50:46,39.13715636279212,38.780781546453454,,,
2018-12-31 22:50:47,39.13715636279212,38.76236604545105,,,
2018-12-31 22:50:48,39.166862107963574,38.744273112737105,,,
2018-12-31 22:50:49,39.166862107963574,38.73498315666561,,,
2018-12-31 22:50:50,39.166862107963574,38.72504806401723,,,
2018-12-31 22:50:51,38.60017478760242,38.70582301529734,,,
2018-12-31 22:50:52,38.60017478760242,38.69702003865489,,,
2018-12-31 22:50:53,38.60017478760242,38.688217062012434,,,
2018-12-31 22:50:54,38.60017478760242,38.67909151708153,,,
2018-12-31 22:50:55,38.03348746724126,38.67028854043908,,,
2018-12-31 22:50:56,38.03348746724126,38.661485563796624,,,
2018-12-31 22:50:57,37.466800146880104,38.65316956658321,,,
2018-12-31 22:50:58,37.466800146880104,38.644044021652306,,,
2018-12-31 22:50:59,37.466800146880104,38.6349184767214,,,
2018-12-31 22:51:00,37.466800146880104,38.62660247950799,38.423655721077544,,
2018-12-31 22:51:01,37.466800146880104,38.61796391400612,38.42382149098789,,
2018-12-31 22:51:02,37.466800146880104,38.608838369075215,38.42414987796927,,
2018-12-31 22:51:03,37.466800146880104,38.58993588864378,38.42496611616376,,
2018-12-31 22:51:04,37.466800146880104,38.561743452140846,38.4164156217903,,
2018-12-31 22:51:05,37.466800146880104,38.52426105956642,38.402856526990796,,
2018-12-31 22:51:06,37.466800146880104,38.48677866699199,38.38445144883627,,
2018-12-31 22:51:07,38.03348746724126,38.449296274417556,38.36588375361071,,
2018-12-31 22:51:08,38.03348746724126,38.41197829298372,38.34747867545619,,
2018-12-31 22:51:09,37.994134136050356,38.37466031154989,38.32939883144374,,
2018-12-31 22:51:10,37.994134136050356,38.32805237404455,38.31115637036025,,
2018-12-31 22:51:11,38.580498122006965,38.28144443653922,38.29275129220573,,
2018-12-31 22:51:12,38.580498122006965,38.24412645510539,38.26966284776723,,
2018-12-31 22:51:13,38.60017478760242,38.20713104196,38.246249169186655,,
2018-12-31 22:51:14,38.60017478760242,38.16964864938558,38.22751885689006,,
2018-12-31 22:51:15,38.60017478760242,38.13216625681115,38.20854304256725,,
2018-12-31 22:51:16,38.60017478760242,38.09452570708887,38.18956722824444,,
2018-12-31 22:51:17,38.61020386717842,38.05737213679562,38.17034591189543,,
2018-12-31 22:51:18,38.61020386717842,38.02086370307927,38.151287212617454,,
2018-12-31 22:51:19,38.580498122006965,37.98386828993388,38.137157381649665,,
2018-12-31 22:51:20,38.580498122006965,37.9468728767885,38.12738568282377,,
2018-12-31 22:51:21,38.580498122006965,37.919167419714604,38.11761398399788,,
2018-12-31 22:51:22,38.580498122006965,37.90042935042376,38.113096387624246,,
2018-12-31 22:51:23,38.580498122006965,37.88169128113291,38.10841617417958,,
2018-12-31 22:51:24,38.580498122006965,37.872565736202,38.10357334366388,,
2018-12-31 22:51:25,38.60017478760242,37.86344019127109,38.103576496503194,,
2018-12-31 22:51:26,38.60017478760242,37.86279505469419,38.10357964934251,,
